pair_id,是否需单独判断,所属规则,产品A,品牌A,产品B,品牌B,模型一判定,模型一理由,模型二判定,模型二理由,向量相似度,您的判定（相同/可替代/不可替代/拿不准）,备注
P0486,是,需单独判断,"Carnosol, Antioxidant (TBI2926) - 5 MG",TribioScience,"Mitoquinone, Mitochondria-targeted antioxidant (TBI1363) - 25 MG",TribioScience,不可替代,Different compounds (Carnosol vs Mitoquinone) with different structures/mechanisms despite both antioxidants,可替代,Both antioxidants but different chemicals with distinct mechanisms (mitochondria-targeted vs plant phenolic); marginal substitute.,0.834,,
P0685,是,需单独判断,Recombinant Mouse PDGF R alpha/PDGFRA Protein - 100UG,Astor Scientific,Human PDGFRA (Platelet-Derived Growth Factor Receptor Alpha) - Recombinant Protein - 100ug,Astor Scientific,可替代,Same target (PDGFRA) but different species (mouse vs human) recombinant proteins,不可替代,Different species ortholog (mouse vs human PDGFRA); species affects binding/assay results,0.902,,
P0710,是,需单独判断,VDAC Loading Control Antibody,GenDEPOT,GAPDH Loading Control Antibody,GenDEPOT,不可替代,Different target antigens (VDAC vs GAPDH loading controls),可替代,Different antigen targets but both serve the same western blot loading-control function,0.932,,
P0712,是,需单独判断,2 × Phanta Max Master Mix (Dye Plus) P525 - P525-01: 1 ml,Vazyme,2 × Vazyme LAmp Master Mix (Dye Plus) - P312-02: 5 × 1 ml,Vazyme,不可替代,Different master mixes (Phanta Max PCR vs LAmp isothermal amplification) - distinct applications,可替代,Both Vazyme dye-containing PCR master mixes but different polymerase systems (high-fidelity vs Taq-based),0.886,,
P0721,是,需单独判断,Human CCL3 (C-C Motif Chemokine 3) - Recombinant Protein - 100ug,Astor Scientific,Human CCL3L1 (C-C Motif Chemokine 3-Like 1) - Recombinant Protein - 100ug,Astor Scientific,不可替代,Different genes/proteins (CCL3 vs CCL3L1) despite similar naming,可替代,Closely related but distinct paralogs CCL3 vs CCL3L1,0.934,,
P0758,是,需单独判断,"Nichipet EX Plus Ⅱ Autoclavable/UV Stable, Chemical resistant, One-Touch Calibration Digital Micropipette - 2-20 uL",NICHIRYO,Nichipet EX Ⅱ Autoclavable/UV Stable Digital Micropipette - 100-1000 uL,NICHIRYO,不可替代,Different volume ranges (2-20uL vs 100-1000uL) for different pipetting applications,可替代,Different volume range (2-20 vs 100-1000 uL) and model line; not interchangeable for same volumes but same function class,0.940,,
P1001,是,需单独判断,"b-AP15 (NSC-687852), DUB inhibitor (TBI1340) - 5 MG",TribioScience,"P5091, DUB USP7 inhibitor (TBI1422) - 5 MG",TribioScience,可替代,Both DUB inhibitors but target different specificities (general DUB vs USP7-specific),不可替代,"Both DUB inhibitors but different targets (USP14/UCHL5 vs USP7), changing experimental outcome.",0.828,,
P1024,是,需单独判断,Human FSTL1 (Follistatin-Related Protein 1) - Recombinant Protein - 100ug,Astor Scientific,Human FST (Follistatin) - Recombinant Protein - 100ug,Astor Scientific,可替代,"related follistatin family proteins with overlapping activin-binding function, could serve similar research purpose",不可替代,FSTL1 and FST are distinct proteins,0.957,,
P1196,是,需单独判断,Human APOA1 (Apolipoprotein A-I) - Recombinant Protein - 100ug,Astor Scientific,Mouse Apoa1 (Apolipoprotein A-I) - Recombinant Protein - 100ug,Astor Scientific,可替代,Same protein APOA1 but different species (human vs mouse),不可替代,Different species ortholog of APOA1,0.936,,
P1224,是,需单独判断,Nichipet ECO Digital Glass Tip Pipette and Acces - Glass Tips: 20-200ul,NICHIRYO,Nichipet ECO Digital Glass Tip Pipette and Acces - Pipette: 20-200ul,NICHIRYO,可替代,"One listing is tips accessory, other is the pipette itself - different components of same system",不可替代,Replacement glass tips vs the pipette instrument itself,0.981,,
P1272,是,需单独判断,Human PRSS8 (Prostasin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Prss8 (Prostasin) - Recombinant Protein - 100ug,Astor Scientific,不可替代,"Different species (human vs mouse) recombinant protein, not interchangeable",可替代,Same protein prostasin but different species (human vs mouse),0.936,,
P1280,是,需单独判断,"CHIR 98014 , ≥98% - 10 mg",GenDEPOT,"CHIR 99021, GSK-3 Inhibitor , Free Base - 25 mg",GenDEPOT,不可替代,"Different GSK-3 inhibitor compounds (CHIR98014 vs CHIR99021), different potency/specificity",可替代,Different GSK-3 inhibitor compounds but same functional use,0.803,,
P1321,是,需单独判断,2× EpiArt HS Taq Master Mix EM201 - EM201-01: 1 ml,Vazyme,2 × EpiArt HS Taq Master Mix (Dye Plus) EM202 - EM202-01: 1ml,Vazyme,不可替代,"EM201 is standard master mix while EM202 is a Dye Plus formulation, a functional difference not just packaging",可替代,"Same HS Taq master mix line; B contains loading dye, which affects downstream use (e.g., not for real-time/spectro) but functionally equivalent for PCR",0.975,,
P1440,是,需单独判断,"amfiSure qGreen 1-Step RT-qPCR Master Mix, Fluorescein - 50 rxns",GenDEPOT,"amfiSure qGreen Q-PCR Master Mix(2X), Fluorescein - 50x1ml",GenDEPOT,可替代,"Both qPCR master mixes from same brand but one is RT-qPCR one-step vs standard Q-PCR mix, different application scope",不可替代,"One-step RT-qPCR mix (RNA input, includes RT) vs DNA qPCR mix — different assay function",0.948,,
P1453,是,需单独判断,Mouse Brain Dissociation Kit for scRNA-seq - 10 Tests/Kit,FireGene,Blood Vessel Dissociation Kit for Single-Cell Applications - 10 Tests/Kit,FireGene,不可替代,"Different tissue/sample dissociation kits (mouse brain vs blood vessel), different intended samples",可替代,Both tissue dissociation kits for single-cell prep but optimized for different tissues (brain vs blood vessel); enzymes differ,0.837,,
P1497,是,需单独判断,amfiSure Hot-Start Taq DNA Polymerase - 100 units,GenDEPOT,"Pfu DNA Polymerase Ultra Pure, 5 units/ul - 10000 units",GenDEPOT,不可替代,Different polymerase types (Taq vs Pfu) with different fidelity/use cases,可替代,Both thermostable DNA polymerases but Taq hot-start vs proofreading Pfu differ in fidelity,0.832,,
P1502,是,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiXpand Taq DNA Polymerase - 25X100 units,GenDEPOT,不可替代,Different formulations - hot-start master mix with dNTP/MgCl2 vs plain Taq polymerase enzyme,可替代,Same Taq polymerase line; hot-start with dNTP/MgCl2 vs standard Taq—usable for similar PCR but different performance.,0.836,,
P1503,是,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiSure Hot-Start Taq DNA Polymerase - 250 units,GenDEPOT,不可替代,amfiXpand hot-start mix (with dNTP/MgCl2) differs from amfiSure Taq polymerase alone - different formulations,可替代,Both hot-start Taq PCR reagents from same brand; one includes dNTP/MgCl2 mix,0.843,,
P1504,是,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiEco PCR Premix - 5x96rxns,GenDEPOT,不可替代,"Different PCR reagent formulations (hot-start master mix with dNTP/MgCl2 vs premix), different specs",可替代,Hot-start polymerase kit vs ready-to-use PCR premix; both amplify DNA but different format/performance,0.842,,
P1539,是,需单独判断,"HPA (Hexyl-4-pentynoic acid), HDAC inhibitor (TBI1160) - 20 MG",TribioScience,"Phenylbutyrate Na, HDAC inhibitor (TBI1118) - 1 G",TribioScience,不可替代,Different HDAC inhibitor compounds,可替代,Different chemical entities but both HDAC inhibitors serving the same purpose,0.842,,
P1575,是,需单独判断,Human SNCA (Alpha-Synuclein) - Recombinant Protein - 100ug,Astor Scientific,Mouse Snca (Alpha-Synuclein) - Recombinant Protein - 100ug,Astor Scientific,可替代,"Same target protein (Alpha-Synuclein) but different species orthologs, often interchangeable for many assays",不可替代,Different species ortholog (human vs mouse alpha-synuclein),0.953,,
P1576,是,需单独判断,Mouse Mmp8 (Neutrophil Collagenase) - Recombinant Protein - 100ug,Astor Scientific,Human MMP8 (Neutrophil Collagenase) - Recombinant Protein - 100ug,Astor Scientific,可替代,"Same target protein (MMP8) but different species (mouse vs human), acceptable substitute for many research purposes",不可替代,"Same target but different species ortholog (mouse vs human MMP8), which changes experimental outcome",0.945,,
P1588,是,需单独判断,"Mouse Ighg (Ig Gamma-2A Chain C Region, A Allele) - Recombinant Protein - 100ug",Astor Scientific,Mouse IgG2a-Fc - Recombinant Protein - 100ug,Astor Scientific,相同,"Same protein (Mouse IgG2a Fc/C region) just named differently, same brand and amount",可替代,Full IgG2a heavy-chain C region vs Fc fragment only; related but different constructs,0.940,,
P1595,是,需单独判断,"AR-A 014418, GSK-3 inhibitor (TBI1195) - 25 MG",TribioScience,"GSK-690693 HCl, Akt inhibitor (TBI1310) - 25 MG",TribioScience,可替代,Both are kinase pathway inhibitors (GSK-3 vs Akt) used in similar signaling studies but target different kinases,不可替代,GSK-3 inhibitor vs Akt inhibitor — different kinase targets.,0.867,,
P1676,是,需单独判断,AceQ Probe Master Mix Q113-EN - Q113-EN02: 500 rxns (20 μl/rxn),Vazyme,HiScript II One Step qRT-PCR Probe Kit Q223-EN - Q223-EN01: 250 rxns (20 μl/rxn),Vazyme,可替代,"Both qPCR/RT-qPCR probe-based reagent kits from Vazyme serving similar detection purpose, but different chemistries (master mix vs one-step RT-qPCR kit)",不可替代,qPCR probe master mix (DNA template) vs one-step qRT-PCR kit with reverse transcriptase,0.849,,
P1749,是,需单独判断,Human CES1 (Liver Carboxylesterase 1) - Recombinant Protein - 100ug,Astor Scientific,Mouse Ces1d (Carboxylesterase 1D) - Recombinant Protein - 100ug,Astor Scientific,可替代,Same enzyme family (carboxylesterase) but different species orthologs,不可替代,Different species and different gene (CES1 vs Ces1d isoform),0.876,,
P1815,是,需单独判断,Mouse Ctsb (Cathepsin B) - Recombinant Protein - 100ug,Astor Scientific,Human CTSB (Cathepsin B) - Recombinant Protein - 100ug,Astor Scientific,不可替代,Same protein but different species (Mouse vs Human Cathepsin B),可替代,Same enzyme cathepsin B but mouse vs human ortholog; species matters for many assays,0.942,,
P1951,是,需单独判断,Human CTSL (Procathepsin L) - Recombinant Protein - 100ug,Astor Scientific,Mouse Ctsl (Procathepsin L) - Recombinant Protein - 100ug,Astor Scientific,可替代,Same protein (Procathepsin L) but different species (human vs mouse),不可替代,Species differ: human vs mouse cathepsin L,0.941,,
P0056,,同一产品，只有包装规格不同,"Apilimod, IL12/23 inhibitor/Inhibits SARS-CoV2 infection (TBI4970) - 25 MG",TribioScience,"Apilimod, IL12/23 inhibitor/Inhibits SARS-CoV2 infection (TBI4970) - 5 MG",TribioScience,可替代,"Same compound Apilimod, different mass sizes (25mg vs 5mg)",相同,"Same compound and catalog number, only pack size differs",0.969,,
P0339,,同一产品，只有包装规格不同,TUNEL BrightRed Apoptosis Detection Kit A113 - A113-01: 100 rxns,Vazyme,TUNEL BrightRed Apoptosis Detection Kit A113 - A113-01: 25 rxns,Vazyme,可替代,"Same kit, different reaction pack sizes (100 vs 25 rxns)",相同,"Same kit, only reaction pack size differs",0.980,,
P0512,,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,不可替代,Different tube volume (2ml vs 1.5ml),可替代,Same tube type but different volume (2 ml vs 1.5 ml),0.940,,
P0670,,同一产品，只有包装规格不同,Universal Aspergillus TaqMan qPCR Detection - 100 Reactions,TribioScience,Universal Aspergillus TaqMan qPCR Detection - 200 Reactions,TribioScience,可替代,"Same assay, different reaction count (pack size) but functionally same use case",相同,"Same qPCR kit, differs only in reaction count/pack size",0.977,,
P0677,,同一产品，只有包装规格不同,"Plerixafor, CXCR4 antagonist (TBI2864) - 10 MG",TribioScience,"Plerixafor, CXCR4 antagonist (TBI2864) - 50 MG",TribioScience,可替代,"Same compound, different pack size (10mg vs 50mg)",相同,"Same compound and catalog number, pack size only",0.970,,
P0738,,同一产品，只有包装规格不同,"NEST 6 Cell Culture Inserts+6 Well Plate, PET Membrane, TC, Sterile, 6/pk, 60/cs - 3.0 um",NEST Scientific,"NEST 12 Cell Culture Inserts+12 Well Plate, PET Membrane, TC, Sterile, 12/pk, 120/cs - 0.8 um",NEST Scientific,不可替代,"Different well counts (6 vs 12) and membrane pore sizes (3.0um vs 0.8um), affecting cell culture application",可替代,Same insert system but different plate format (6 vs 12 well) and pore size (3.0 vs 0.8 um),0.862,,
P0748,,同一产品，只有包装规格不同,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,不可替代,Different tube volumes and dimensions (13ml vs 10ml) affect capacity for experiments,可替代,"Same screw cap PP tube type, different volume/length (13 vs 10 ml)",0.943,,
P0805,,同一产品，只有包装规格不同,"Cryogenic Vials with Side Bardcode-1.0 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,不可替代,Different vial volumes (1.0ml vs 0.5ml) affect sample capacity,可替代,Same barcoded external-thread cryovial line differing only in volume (1.0 vs 0.5 mL),0.980,,
P1010,,同一产品，只有包装规格不同,CryoKING® 2L/3L/6L/10L Liquid Nitrogen Tank Portable Dewar Series - 3L,Biologix,CryoKING® 2L/3L/6L/10L Liquid Nitrogen Tank Portable Dewar Series - 10L,Biologix,不可替代,Different tank capacities (3L vs 10L) affecting storage capacity and use case,可替代,Same dewar series but 3 L vs 10 L capacity — different storage volume,0.930,,
P1018,,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, 500 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, 250 Piece(s)",SARSTED,不可替代,Different tube volumes (2ml vs 0.5ml) - different capacity use case,可替代,Same screw cap tube line but different volume (2 ml vs 0.5 ml),0.939,,
P1121,,同一产品，只有包装规格不同,"NEST Natural Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 30 mL - 10/pk, 200/cs",NEST Scientific,"NEST Natural Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 125 mL - 10/pk, 100/cs",NEST Scientific,不可替代,Different volume sizes (30mL vs 125mL) change usage/experimental context,可替代,"Same bottle line, different fill volume (30 vs 125 mL)",0.929,,
P1293,,同一产品，只有包装规格不同,"Pinacidil, Potassium channel opener (TBI2856) - 10 MG",TribioScience,"Pinacidil, Potassium channel opener (TBI2856) - 50 MG",TribioScience,可替代,"Same compound, only different pack size (10mg vs 50mg)",相同,"Same compound and catalog number, only pack size differs",0.963,,
P1312,,同一产品，只有包装规格不同,DISPET Variable Volume Bottle-top Dispenser - 0.4 - 2.0 mL,NICHIRYO,DISPET Variable Volume Bottle-top Dispenser - 1 - 5 mL,NICHIRYO,不可替代,"Different volume ranges (0.4-2.0 mL vs 1-5 mL) mean different dispensing applications, not interchangeable",可替代,Same dispenser line but different volume ranges; overlapping use but different specification,0.944,,
P1336,,同一产品，只有包装规格不同,Anti-Cancer Antigen 15-3 (Anti-CA15-3) Monoclonal antibody (TMC072) - 0.2 MG,TribioScience,Anti-Cancer Antigen 15-3 (Anti-CA15-3) Monoclonal antibody (TMC072) - 1 MG,TribioScience,可替代,"Same antibody clone, different pack size (0.2mg vs 1mg)",相同,"Same clone antibody, only pack size differs",0.962,,
P1353,,同一产品，只有包装规格不同,Anti-Lipoprotein-Associated Phospholipase A2 (Lp-PLA2) Monoclonal Antibody (TML063) - 0.2 MG,TribioScience,Anti-Lipoprotein-Associated Phospholipase A2 (Lp-PLA2) Monoclonal Antibody (TML061) - 0.2 MG,TribioScience,不可替代,Different clone/catalog numbers imply different antibody clones despite same target,可替代,"Same Lp-PLA2 target, different monoclonal clones (TML063 vs TML061); epitope/application may differ",0.987,,
P1451,,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, sterile, 1000 Piece(s)",SARSTED,不可替代,Different tube volumes (2ml vs 0.5ml) affecting sample capacity,可替代,Same tube type but 2 ml vs 0.5 ml capacity,0.934,,
P1461,,同一产品，只有包装规格不同,"Screw cap micro tube, 0.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 500 Piece(s)",SARSTED,不可替代,"Different tube volume (0.5ml vs 2ml) and pack size, different specification",可替代,Same tube type but different volume (0.5 vs 2 ml),0.938,,
P1632,,同一产品，只有包装规格不同,"NEST Amber Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 250 mL - 10/pk, 100/cs",NEST Scientific,"NEST Amber Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 60 mL - 10/pk, 200/cs",NEST Scientific,相同,"Same product, different volume/pack size only",可替代,Same bottle line but 250 mL vs 60 mL capacity; interchangeable only for some uses,0.951,,
P1642,,同一产品，只有包装规格不同,"Screw cap tube, 15 ml,  120 x 17 mm, PP, with print, 500 Piece(s)",SARSTED,"Screw cap tube,  30 ml,  107 x 25 mm, PP, with print, 50 Piece(s)",SARSTED,不可替代,"Different volume and dimension tubes, not interchangeable",可替代,"Same tube type, different volume/dimensions and pack count",0.912,,
P1680,,同一产品，只有包装规格不同,"Screw cap tube, 5 ml,  57 x 15.3 mm, PP, 1000 Piece(s)",SARSTED,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 1000 Piece(s)",SARSTED,不可替代,Different tube volumes/sizes (5ml vs 13ml) affect capacity and use,可替代,Same tube type but 5 ml vs 13 ml capacity; not directly interchangeable,0.895,,
P1712,,同一产品，只有包装规格不同,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 500 Piece(s)",SARSTED,"Screw cap tube, 25 ml,  90 x 25 mm, PP, 500 Piece(s)",SARSTED,不可替代,"Different tube sizes/volumes (13ml vs 25ml), different dimensions",可替代,Same screw cap PP tube line but different volume/dimensions (13 vs 25 ml); could substitute for general storage.,0.901,,
P1832,,同一产品，只有包装规格不同,"Damnacanthal, p56 Lck inhibitor (TBI2516) - 1 MG",TribioScience,"Damnacanthal, p56 Lck inhibitor (TBI2516) - 5 MG",TribioScience,可替代,"Same inhibitor, different pack size (1mg vs 5mg)",相同,"Same compound and catalog number, only pack size differs",0.968,,
P1861,,同一产品，只有包装规格不同,Benzoylecgonine Monoclonal Antibody (TMB022) - 1 MG,TribioScience,Benzoylecgonine Monoclonal Antibody (TMB021) - 1 MG,TribioScience,不可替代,"Different clones (TMB022 vs TMB021) targeting same antigen, likely different antibody products",可替代,Same target/format but different monoclonal clones (TMB022 vs TMB021); epitope/performance may differ,0.989,,
P0010,,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, Biosphere plus, 500 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,不可替代,Different tube size (1.5ml vs 2ml) and sterility spec,可替代,Both Sarstedt screw-cap micro tubes but differ in volume (1.5 vs 2 ml) and Biosphere plus vs standard sterile grade,0.908,,
P0020,,同类耗材，容量不同,"NEST  PP Centrifuge Tubes with Plug Seal Cap, Sterile (250 ml and 500 ml) - 500 mL - racked, 4/pk, 24/cs",NEST Scientific,"Centrifuge Tubes, 50 ml ,PP,Sterile,Plug-Seal Cap,Self Standing, in Bag",GenDEPOT,不可替代,"Different volumes (500mL vs 50mL) and different brands/products, not interchangeable",可替代,"Both sterile PP plug-seal centrifuge tubes but 500 mL vs 50 mL capacity, different brands",0.824,,
P0076,,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, 500 Piece(s)",SARSTED,相同,"Same product (0.5ml screw cap micro tube), only pack size differs",可替代,Same 0.5 ml screw cap tube but one is PCR performance tested grade; pack size differs,0.945,,
P0077,,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, sterile, 500 Piece(s)",SARSTED,不可替代,Different tube volumes (0.5 mL vs 1.5 mL) and sterility spec change experimental use,可替代,Same tube type but different capacity (0.5 vs 1.5 mL) and qualification (PCR-tested vs sterile).,0.916,,
P0100,,同类耗材，容量不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 100 ul",NEST Scientific,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,可替代,Both filtered low-retention pipette tips but different volume ranges (100ul vs 200ul) and design,不可替代,Different tip volume (100 µl vs 200 µl extra-long); not interchangeable on instrument/volume,0.830,,
P0141,,同类耗材，容量不同,"Screw cap tube, 3.5 ml,  92 x 13 mm, conical false bottom, rounded tube bottom, PP, without cap, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,不可替代,Different volume (3.5ml vs 10ml) and dimensions/design (false bottom vs standard),可替代,Same type of PP screw cap tube but different volume/dimensions (3.5 ml conical vs 10 ml); usable for similar sample storage but not interchangeable one-for-one,0.904,,
P0142,,同类耗材，容量不同,"Screw cap tube, 3.5 ml,  92 x 13 mm, conical false bottom, rounded tube bottom, PP, without cap, 1000 Piece(s)",SARSTED,"Screw cap tube, 13 ml,  101 x 16 mm, PP, 500 Piece(s)",SARSTED,不可替代,"Different tube sizes (3.5ml vs 13ml) and dimensions, not interchangeable",可替代,Same screw-cap PP tube family but 3.5 ml conical vs 13 ml; capacity difference matters though function similar,0.914,,
P0150,,同类耗材，容量不同,"Screw cap tube,4.5 ml,  75 x 12 mm, PP, with print, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,不可替代,Different tube volumes/dimensions (4.5ml vs 10ml) affecting sample capacity,可替代,Same screw cap PP tube line but different volume/dimensions (4.5 vs 10 mL),0.905,,
P0214,,同类耗材，容量不同,"NEST 96 Well Cell Culture Plate, V-bottom, sterile 1/pk, 100/cs - TC",NEST Scientific,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,可替代,"Both are 96-well V-bottom cell culture/assay plates, sterile, similar use though different brands and pack sizes",不可替代,A is tissue-culture-treated cell culture plate; B is untreated assay plate—surface treatment changes cell attachment,0.757,,
P0225,,同类耗材，容量不同,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,相同,"Same product, different pack size/sterility labeling",可替代,"Same 2 mL screw-cap tube, but one is sterile and one is not; sterility can affect use",0.975,,
P0242,,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, 500 Piece(s)",SARSTED,相同,"Same screw cap micro tube 1.5ml, only pack size differs",可替代,Same 1.5 ml tube; sterile vs non-sterile difference matters for some uses,0.981,,
P0243,,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 500 Piece(s)",SARSTED,不可替代,Different tube volumes (1.5ml vs 2ml) affect sample capacity/experiment setup,可替代,Same tube type but different volume (1.5 vs 2 ml) and sterility spec,0.925,,
