pair_id,rule,a,brand_a,b,brand_b,kind,note,raw,model1,model2,similarity
P0468,需单独判断,Viral particle DNA Magnetic Extraction (TBS6035) - 50 Tests,TribioScience,Microbial DNA Magnetic Extraction Kit - 200 Tests,TribioScience,none,,不可替代,none,substitute,0.887
P0469,需单独判断,Viral particle DNA Magnetic Extraction (TBS6035) - 50 Tests,TribioScience,Expin Gel SV (DNA isolation) - 50 Samples,TribioScience,none,,不可替代,substitute,none,0.877
P0486,需单独判断,"Carnosol, Antioxidant (TBI2926) - 5 MG",TribioScience,"Mitoquinone, Mitochondria-targeted antioxidant (TBI1363) - 25 MG",TribioScience,none,,不可替代,none,substitute,0.834
P0685,需单独判断,Recombinant Mouse PDGF R alpha/PDGFRA Protein - 100UG,Astor Scientific,Human PDGFRA (Platelet-Derived Growth Factor Receptor Alpha) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.902
P0710,需单独判断,VDAC Loading Control Antibody,GenDEPOT,GAPDH Loading Control Antibody,GenDEPOT,none,,不可替代,none,substitute,0.932
P0712,需单独判断,2 × Phanta Max Master Mix (Dye Plus) P525 - P525-01: 1 ml,Vazyme,2 × Vazyme LAmp Master Mix (Dye Plus) - P312-02: 5 × 1 ml,Vazyme,none,,不可替代,none,substitute,0.886
P0721,需单独判断,Human CCL3 (C-C Motif Chemokine 3) - Recombinant Protein - 100ug,Astor Scientific,Human CCL3L1 (C-C Motif Chemokine 3-Like 1) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,none,substitute,0.934
P0758,需单独判断,"Nichipet EX Plus Ⅱ Autoclavable/UV Stable, Chemical resistant, One-Touch Calibration Digital Micropipette - 2-20 uL",NICHIRYO,Nichipet EX Ⅱ Autoclavable/UV Stable Digital Micropipette - 100-1000 uL,NICHIRYO,substitute,,可替代,none,substitute,0.94
P1001,需单独判断,"b-AP15 (NSC-687852), DUB inhibitor (TBI1340) - 5 MG",TribioScience,"P5091, DUB USP7 inhibitor (TBI1422) - 5 MG",TribioScience,none,,不可替代,substitute,none,0.828
P1024,需单独判断,Human FSTL1 (Follistatin-Related Protein 1) - Recombinant Protein - 100ug,Astor Scientific,Human FST (Follistatin) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.957
P1196,需单独判断,Human APOA1 (Apolipoprotein A-I) - Recombinant Protein - 100ug,Astor Scientific,Mouse Apoa1 (Apolipoprotein A-I) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.936
P1224,需单独判断,Nichipet ECO Digital Glass Tip Pipette and Acces - Glass Tips: 20-200ul,NICHIRYO,Nichipet ECO Digital Glass Tip Pipette and Acces - Pipette: 20-200ul,NICHIRYO,substitute,,可替代,substitute,none,0.981
P1272,需单独判断,Human PRSS8 (Prostasin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Prss8 (Prostasin) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,none,substitute,0.936
P1280,需单独判断,"CHIR 98014 , ≥98% - 10 mg",GenDEPOT,"CHIR 99021, GSK-3 Inhibitor , Free Base - 25 mg",GenDEPOT,none,,不可替代,none,substitute,0.803
P1321,需单独判断,2× EpiArt HS Taq Master Mix EM201 - EM201-01: 1 ml,Vazyme,2 × EpiArt HS Taq Master Mix (Dye Plus) EM202 - EM202-01: 1ml,Vazyme,substitute,,可替代,none,substitute,0.975
P1440,需单独判断,"amfiSure qGreen 1-Step RT-qPCR Master Mix, Fluorescein - 50 rxns",GenDEPOT,"amfiSure qGreen Q-PCR Master Mix(2X), Fluorescein - 50x1ml",GenDEPOT,none,,不可替代,substitute,none,0.948
P1453,需单独判断,Mouse Brain Dissociation Kit for scRNA-seq - 10 Tests/Kit,FireGene,Blood Vessel Dissociation Kit for Single-Cell Applications - 10 Tests/Kit,FireGene,none,,不可替代,none,substitute,0.837
P1497,需单独判断,amfiSure Hot-Start Taq DNA Polymerase - 100 units,GenDEPOT,"Pfu DNA Polymerase Ultra Pure, 5 units/ul - 10000 units",GenDEPOT,none,,不可替代,none,substitute,0.832
P1502,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiXpand Taq DNA Polymerase - 25X100 units,GenDEPOT,none,,不可替代,none,substitute,0.836
P1503,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiSure Hot-Start Taq DNA Polymerase - 250 units,GenDEPOT,none,,不可替代,none,substitute,0.843
P1504,需单独判断,"amfiXpand Hot-Start Version , Including dNTP&MgCl2 - 6x200 units",GenDEPOT,amfiEco PCR Premix - 5x96rxns,GenDEPOT,none,,不可替代,none,substitute,0.842
P1539,需单独判断,"HPA (Hexyl-4-pentynoic acid), HDAC inhibitor (TBI1160) - 20 MG",TribioScience,"Phenylbutyrate Na, HDAC inhibitor (TBI1118) - 1 G",TribioScience,none,,不可替代,none,substitute,0.842
P1575,需单独判断,Human SNCA (Alpha-Synuclein) - Recombinant Protein - 100ug,Astor Scientific,Mouse Snca (Alpha-Synuclein) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.953
P1576,需单独判断,Mouse Mmp8 (Neutrophil Collagenase) - Recombinant Protein - 100ug,Astor Scientific,Human MMP8 (Neutrophil Collagenase) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.945
P1588,需单独判断,"Mouse Ighg (Ig Gamma-2A Chain C Region, A Allele) - Recombinant Protein - 100ug",Astor Scientific,Mouse IgG2a-Fc - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,exact,substitute,0.94
P1595,需单独判断,"AR-A 014418, GSK-3 inhibitor (TBI1195) - 25 MG",TribioScience,"GSK-690693 HCl, Akt inhibitor (TBI1310) - 25 MG",TribioScience,none,,不可替代,substitute,none,0.867
P1676,需单独判断,AceQ Probe Master Mix Q113-EN - Q113-EN02: 500 rxns (20 μl/rxn),Vazyme,HiScript II One Step qRT-PCR Probe Kit Q223-EN - Q223-EN01: 250 rxns (20 μl/rxn),Vazyme,none,,不可替代,substitute,none,0.849
P1749,需单独判断,Human CES1 (Liver Carboxylesterase 1) - Recombinant Protein - 100ug,Astor Scientific,Mouse Ces1d (Carboxylesterase 1D) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.876
P1815,需单独判断,Mouse Ctsb (Cathepsin B) - Recombinant Protein - 100ug,Astor Scientific,Human CTSB (Cathepsin B) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,none,substitute,0.942
P1951,需单独判断,Human CTSL (Procathepsin L) - Recombinant Protein - 100ug,Astor Scientific,Mouse Ctsl (Procathepsin L) - Recombinant Protein - 100ug,Astor Scientific,none,,不可替代,substitute,none,0.941
P0056,同一产品，只有包装规格不同,"Apilimod, IL12/23 inhibitor/Inhibits SARS-CoV2 infection (TBI4970) - 25 MG",TribioScience,"Apilimod, IL12/23 inhibitor/Inhibits SARS-CoV2 infection (TBI4970) - 5 MG",TribioScience,substitute,,可替代,substitute,exact,0.969
P0339,同一产品，只有包装规格不同,TUNEL BrightRed Apoptosis Detection Kit A113 - A113-01: 100 rxns,Vazyme,TUNEL BrightRed Apoptosis Detection Kit A113 - A113-01: 25 rxns,Vazyme,substitute,,可替代,substitute,exact,0.98
P0512,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.94
P0670,同一产品，只有包装规格不同,Universal Aspergillus TaqMan qPCR Detection - 100 Reactions,TribioScience,Universal Aspergillus TaqMan qPCR Detection - 200 Reactions,TribioScience,substitute,,可替代,substitute,exact,0.977
P0677,同一产品，只有包装规格不同,"Plerixafor, CXCR4 antagonist (TBI2864) - 10 MG",TribioScience,"Plerixafor, CXCR4 antagonist (TBI2864) - 50 MG",TribioScience,substitute,,可替代,substitute,exact,0.97
P0738,同一产品，只有包装规格不同,"NEST 6 Cell Culture Inserts+6 Well Plate, PET Membrane, TC, Sterile, 6/pk, 60/cs - 3.0 um",NEST Scientific,"NEST 12 Cell Culture Inserts+12 Well Plate, PET Membrane, TC, Sterile, 12/pk, 120/cs - 0.8 um",NEST Scientific,substitute,,可替代,none,substitute,0.862
P0748,同一产品，只有包装规格不同,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.943
P0805,同一产品，只有包装规格不同,"Cryogenic Vials with Side Bardcode-1.0 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,substitute,,可替代,none,substitute,0.98
P1010,同一产品，只有包装规格不同,CryoKING® 2L/3L/6L/10L Liquid Nitrogen Tank Portable Dewar Series - 3L,Biologix,CryoKING® 2L/3L/6L/10L Liquid Nitrogen Tank Portable Dewar Series - 10L,Biologix,substitute,,可替代,none,substitute,0.93
P1018,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, 500 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, 250 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.939
P1121,同一产品，只有包装规格不同,"NEST Natural Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 30 mL - 10/pk, 200/cs",NEST Scientific,"NEST Natural Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 125 mL - 10/pk, 100/cs",NEST Scientific,substitute,,可替代,none,substitute,0.929
P1293,同一产品，只有包装规格不同,"Pinacidil, Potassium channel opener (TBI2856) - 10 MG",TribioScience,"Pinacidil, Potassium channel opener (TBI2856) - 50 MG",TribioScience,substitute,,可替代,substitute,exact,0.963
P1312,同一产品，只有包装规格不同,DISPET Variable Volume Bottle-top Dispenser - 0.4 - 2.0 mL,NICHIRYO,DISPET Variable Volume Bottle-top Dispenser - 1 - 5 mL,NICHIRYO,substitute,,可替代,none,substitute,0.944
P1336,同一产品，只有包装规格不同,Anti-Cancer Antigen 15-3 (Anti-CA15-3) Monoclonal antibody (TMC072) - 0.2 MG,TribioScience,Anti-Cancer Antigen 15-3 (Anti-CA15-3) Monoclonal antibody (TMC072) - 1 MG,TribioScience,substitute,,可替代,substitute,exact,0.962
P1353,同一产品，只有包装规格不同,Anti-Lipoprotein-Associated Phospholipase A2 (Lp-PLA2) Monoclonal Antibody (TML063) - 0.2 MG,TribioScience,Anti-Lipoprotein-Associated Phospholipase A2 (Lp-PLA2) Monoclonal Antibody (TML061) - 0.2 MG,TribioScience,substitute,,可替代,none,substitute,0.987
P1451,同一产品，只有包装规格不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, sterile, 1000 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.934
P1461,同一产品，只有包装规格不同,"Screw cap micro tube, 0.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 500 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.938
P1632,同一产品，只有包装规格不同,"NEST Amber Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 250 mL - 10/pk, 100/cs",NEST Scientific,"NEST Amber Color Round HDPE Storage Bottle, Wide Mouth, Sterile - 60 mL - 10/pk, 200/cs",NEST Scientific,substitute,,可替代,exact,substitute,0.951
P1642,同一产品，只有包装规格不同,"Screw cap tube, 15 ml,  120 x 17 mm, PP, with print, 500 Piece(s)",SARSTED,"Screw cap tube,  30 ml,  107 x 25 mm, PP, with print, 50 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.912
P1680,同一产品，只有包装规格不同,"Screw cap tube, 5 ml,  57 x 15.3 mm, PP, 1000 Piece(s)",SARSTED,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 1000 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.895
P1712,同一产品，只有包装规格不同,"Screw cap tube, 13 ml,  101 x 16.5 mm, PP, 500 Piece(s)",SARSTED,"Screw cap tube, 25 ml,  90 x 25 mm, PP, 500 Piece(s)",SARSTED,substitute,,可替代,none,substitute,0.901
P1832,同一产品，只有包装规格不同,"Damnacanthal, p56 Lck inhibitor (TBI2516) - 1 MG",TribioScience,"Damnacanthal, p56 Lck inhibitor (TBI2516) - 5 MG",TribioScience,substitute,,可替代,substitute,exact,0.968
P1861,同一产品，只有包装规格不同,Benzoylecgonine Monoclonal Antibody (TMB022) - 1 MG,TribioScience,Benzoylecgonine Monoclonal Antibody (TMB021) - 1 MG,TribioScience,substitute,,可替代,none,substitute,0.989
P0010,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, Biosphere plus, 500 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.908
P0020,同类耗材，容量不同,"NEST  PP Centrifuge Tubes with Plug Seal Cap, Sterile (250 ml and 500 ml) - 500 mL - racked, 4/pk, 24/cs",NEST Scientific,"Centrifuge Tubes, 50 ml ,PP,Sterile,Plug-Seal Cap,Self Standing, in Bag",GenDEPOT,none,,不可替代,none,substitute,0.824
P0076,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, 500 Piece(s)",SARSTED,none,,不可替代,exact,substitute,0.945
P0077,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, sterile, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.916
P0100,同类耗材，容量不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 100 ul",NEST Scientific,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,none,,不可替代,substitute,none,0.83
P0141,同类耗材，容量不同,"Screw cap tube, 3.5 ml,  92 x 13 mm, conical false bottom, rounded tube bottom, PP, without cap, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.904
P0142,同类耗材，容量不同,"Screw cap tube, 3.5 ml,  92 x 13 mm, conical false bottom, rounded tube bottom, PP, without cap, 1000 Piece(s)",SARSTED,"Screw cap tube, 13 ml,  101 x 16 mm, PP, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.914
P0150,同类耗材，容量不同,"Screw cap tube,4.5 ml,  75 x 12 mm, PP, with print, 1000 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  79 x 16 mm, PP, 1000 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.905
P0214,同类耗材，容量不同,"NEST 96 Well Cell Culture Plate, V-bottom, sterile 1/pk, 100/cs - TC",NEST Scientific,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,none,,不可替代,substitute,none,0.757
P0225,同类耗材，容量不同,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,substitute,相同容量,可替代，相同容量,exact,substitute,0.975
P0242,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, 500 Piece(s)",SARSTED,substitute,,可替代,exact,substitute,0.981
P0243,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.925
P0381,同类耗材，容量不同,"Biologix® 1000ml PP Reagent Bottles, Clear, 10 /Bag, 5 Bags/Case - 50 /Case",Biologix,"Biologix® 30ml PP reagent bottles, Clear color, Autoclavable, 100/Bag, 10 Bags/Case - 1000/Case",Biologix,none,,不可替代,none,substitute,0.929
P0506,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, 500 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, PCR Performance Tested, Low protein-binding, 1000 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.9
P0539,同类耗材，容量不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 10 ul - extra long",NEST Scientific,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,none,,不可替代,substitute,none,0.828
P0540,同类耗材，容量不同,"NEST Serological Pipette Individually Wrapped, sterile - 100 mL - 0 ml negative graduation, 1 ml graduations, 25/bag, 50/pk, 300/cs",NEST Scientific,"NEST Serological Pipette with 0.4ml negative graduation, 1/100 ml graduations, Sterile, 20 per bulk bag - 10 mL - 3.0ml negative graduation, 1/10 ml graduations, 500/pk, 1500/cs",NEST Scientific,none,,不可替代,substitute,none,0.941
P0541,同类耗材，容量不同,"NEST Serological Pipette Individually Wrapped, sterile - 100 mL - 0 ml negative graduation, 1 ml graduations, 25/bag, 50/pk, 300/cs",NEST Scientific,"NEST Serological Pipette Individually Wrapped, sterile - 50 mL - 6.0ml negative graduation, 5/10 ml graduations, 25/bag, 100/cs, 600/cs",NEST Scientific,none,,不可替代,none,substitute,0.953
P0759,同类耗材，容量不同,"Screw cap tube, 15 ml,  120 x 17 mm, PS, with print, 500 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  92 x 15.3 mm, PP, 100 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.87
P0849,同类耗材，容量不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,none,,不可替代,exact,substitute,0.975
P0854,同类耗材，容量不同,"Biologix® 50ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Plug Seal / Bulk (25 /Bag, 20 Bags/Case)",Biologix,"Centrifuge Tubes, 50 ml , Black ,PP,Sterile - 25/Bag",GenDEPOT,substitute,相同容量,可替代，相同容量,substitute,exact,0.831
P0885,同类耗材，容量不同,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,"NEST  Filtered Pipette Tips, Clear, Racked, Sterile,  96/box, 960/pk, 4800/cs - 10 ul - extra long",NEST Scientific,none,,不可替代,substitute,none,0.822
P0887,同类耗材，容量不同,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,"NEST Pipette Tips, Clear, non-filtered, Racked, Sterile, 96/box, 960/pk, 4800/cs - 200-1000 ul",NEST Scientific,none,,不可替代,substitute,none,0.847
P1116,同类耗材，容量不同,"CryoPure tubes, 1.2 ml, QuickSeal screw cap, yellow, 500 Piece(s)",SARSTED,"CryoPure tubes, 2 ml, QuickSeal screw cap, violet, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.912
P1131,同类耗材，容量不同,"CryoKING® 1.5ml Cryogenic Vials, External Thread, Sterile, Self-Standing, Side Barcode, 25/Bag, 500/Pack, 1000/Case - White / Case (1000 pcs/Case)",Biologix,"CryoKING® 1.5ml Cryogenic Vials, Self-Standing, 25/Bag, 500/Pack, 1000/Case - White / Case (1000 pcs)",Biologix,none,相同容量，一个有二维码,不可替代，相同容量，一个有二维码,exact,substitute,0.956
P1159,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.89
P1234,同类耗材，容量不同,"Centrifuge Tubes, 15 ml ,PP,Sterile,Plug-Seal Cap, in Rack",GenDEPOT,"NEST Standard centrifuge tube, sterile (15 ml and 50 ml) - 15 mL - PS Rack, 50/pk, 500/cs",NEST Scientific,substitute,相同容量,可替代，相同容量,exact,substitute,0.817
P1274,同类耗材，容量不同,"Cryogenic Vials-Multi Barcodes, External Thread, 1.0ml,  25 Sets/Bag, 1000 Pcs/Case - Purple / 1000 Pcs",Biologix,"Cryogenic Vials-Multi Barcodes, External Thread, 0.5ml,  25 Sets/Bag, 1000 Pcs/Case - Blue / 1000 Pcs",Biologix,none,,不可替代,none,substitute,0.9
P1286,同类耗材，容量不同,"Faeces tube, with spoon, screw cap,  101 x 16.5 mm, transparent, 250 Piece(s)",SARSTED,"Faeces tube, screw cap,  76 x 20 mm, transparent, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.955
P1297,同类耗材，容量不同,"SafeSeal reaction tube, 2 ml, PP, Biosphere plus, 250 Piece(s)",SARSTED,"SafeSeal reaction tube, 1.5 ml, PP, PCR Performance Tested, Low protein-binding, 200 Piece(s)",SARSTED,none,,不可替代,substitute,none,0.902
P1419,同类耗材，容量不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,none,一个无菌,不可替代，一个无菌,exact,substitute,0.975
P1460,同类耗材，容量不同,"Cryogenic Vials-Multi Barcodes, External Thread, 1.0ml,  25 Sets/Bag, 1000 Pcs/Case - Clear / 1000 Pcs",Biologix,"Cryogenic Vials-Multi Barcodes, External Thread, 0.5ml,  25 Sets/Bag, 1000 Pcs/Case - Blue / 1000 Pcs",Biologix,none,,不可替代,none,substitute,0.923
P1483,同类耗材，容量不同,"20ul Low Retention Filter Tip, Universal Fit,96/Rack",GenDEPOT,"Filter Pipette Tips-1,000uL Extra-Long, Low Retention (50 Racks/Case)",Biologix,none,,不可替代,none,substitute,0.831
P1650,同类耗材，容量不同,"S-Monovette rack D17,  opening: 17 mm, 5 x 10, red, 1 Piece(s)",SARSTED,"Rack, PC, format: 10 x 2, suitable for tubes, all S-Monovette diameters, 1 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.836
P1659,同类耗材，容量不同,"Serological pipette, with tip, plugged, 5 ml, sterile, non-pyrogenic/endotoxin-free, non-cytotoxic,, 500 Piece(s)",SARSTED,"5 ml Disposable Serological Pipette CPP00005 - CPP00005: 200/Case (50/Pack, 4 Packs/Case)",Vazyme,substitute,相同容量,可替代，相同容量,exact,substitute,0.797
P1708,同类耗材，容量不同,"Biologix® Pipette Tips-10µl/200μl/1000µl/1000µl Extended, (Rack, Sterile) - 1000µl Extended / Case(9600 pcs)",Biologix,10 μl Pipette Tips (Rack) PTR00111 - PTR00111: 960 (10 racks of 96) / Unit,Vazyme,none,,不可替代,substitute,none,0.768
P1740,同类耗材，容量不同,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, Biosphere plus, 500 Piece(s)",SARSTED,none,,不可替代,none,substitute,0.909
P1818,同类耗材，容量不同,"1000 μl Pipette Tips (Filtered, Rack) PTR10021 - PTR10022: 4800 (5 units of 960) / Case",Vazyme,"Filter Pipette Tips-10μl, 20ul, 50ul, 100ul, 200ul, 1000ul  Extra-Long, Low Retention, 96/Rack, 4800/Case - 1-100ul / Case (50 Racks)",Biologix,none,,不可替代,substitute,none,0.804
P1824,同类耗材，容量不同,"Biologix® Petri Dishes-150x15mm, 10/Bag, 30/Pack, 200/Case - Case ( 200Pcs )",Biologix,"NEST Petri Dish, Sterile 20/pk, 500/cs - 100 x 15 mm, Y-Plate (3-section), stackable",NEST Scientific,none,,不可替代,substitute,none,0.79
P1863,同类耗材，容量不同,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Red / Case (1000 pcs/Case)",Biologix,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,substitute,,可替代,none,exact,0.955
P1883,同类耗材，容量不同,"NEST 100 uL 96 Well PCR Plate, No Skirt, H12 notch, 25/pk, 100/cs - White",NEST Scientific,"0.2ml 96 Well PCR Plate, Semi Skirt, Clear, A12 notch, 25/pk, 100/cs, for ABI machine (ABI Equivalent)",AstorScientific,none,,不可替代,substitute,none,0.805
P0060,同类产品，灭菌状态或等级不同,"Tissue culture dish, (xH): 100 x 20 mm, surface: Suspension, 300 Piece(s)",SARSTED,"NEST Cell culture dishes, TC, Sterile (35 mm to 150 mm) - 100 mm - 5/bag - 300/cs",NEST Scientific,none,,不可替代,substitute,none,0.813
P0121,同类产品，灭菌状态或等级不同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"1x Dulbecco’s Phosphate Buffered Saline (DPBS) Without Calcium, and magnesium, Sterile for Cell Culture - 6 x 1 L",TribioScience,none,,不可替代,exact,substitute,0.869
